iter	Passed	Remaining
413	2505	3546
414	2509	3537
415	2511	3526
416	2515	3516
417	2518	3506
418	2520	3495
419	2526	3488
420	2529	3478
421	2531	3467
422	2534	3457
423	2537	3447
424	2540	3437
425	2542	3426
426	2548	3419
427	2550	3408
428	2553	3399
429	2556	3389
430	2559	3378
431	2562	3368
432	2564	3358
433	2567	3347
434	2571	3339
435	2573	3329
436	2575	3318
437	2578	3308
438	2580	3297
439	2583	3288
440	2586	3279
441	2589	3268
442	2591	3258
443	2594	3248
444	2596	3238
445	2601	3231
446	2603	3221
447	2606	3211
448	2608	3201
449	2610	3191
450	2614	3182
451	2617	3173
452	2620	3164
453	2623	3155
454	2627	3146
455	2632	3140
456	2634	3130
457	2636	3120
458	2639	3110
459	2641	3101
460	2645	3093
461	2648	3083
462	2650	3074
463	2652	3064
464	2655	3055
465	2657	3045
466	2660	3036
467	2662	3026
468	2665	3017
469	2668	3009
470	2671	2999
471	2673	2990
472	2676	2981
473	2678	2972
474	2680	2962
475	2685	2955
476	2687	2946
477	2690	2937
478	2692	2928
479	2694	2919
480	2697	2910
481	2700	2902
482	2702	2893
483	2706	2885
484	2708	2876
485	2712	2868
486	2715	2860
487	2719	2853
488	2722	2844
489	2726	2837
490	2731	2831
491	2734	2823
492	2736	2814
493	2739	2805
494	2741	2796
495	2746	2790
496	2748	2781
497	2750	2773
498	2753	2764
499	2755	2755
500	2759	2748
501	2762	2740
502	2765	2732
503	2767	2723
504	2769	2714
505	2772	2706
506	2777	2700
507	2780	2693
508	2784	2685
509	2786	2677
510	2792	2672
511	2794	2663
512	2797	2655
513	2799	2647
514	2802	2638
515	2806	2632
516	2809	2625
517	2812	2617
518	2816	2609
519	2819	2602
520	2822	2594
521	2824	2586
522	2827	2578
523	2829	2570
524	2835	2565
525	2839	2558
526	2842	2551
527	2844	2543
528	2847	2535
529	2852	2529
530	2857	2523
531	2860	2516
532	2866	2511
533	2872	2506
534	2875	2499
535	2885	2497
536	2901	2502
537	2905	2494
538	2907	2486
539	2910	2478
540	2919	2477
541	2922	2469
542	2932	2468
543	2935	2460
544	2938	2453
545	2944	2447
546	2949	2442
547	2953	2436
548	2985	2452
549	2991	2447
550	2995	2441
551	2998	2433
552	3001	2426
553	3015	2427
554	3022	2423
555	3027	2417
556	3029	2409
557	3032	2402
558	3036	2395
559	3039	2388
560	3041	2380
561	3043	2372
562	3045	2364
563	3049	2357
564	3052	2350
565	3055	2343
566	3058	2335
567	3060	2327
568	3063	2320
569	3066	2313
570	3069	2306
571	3071	2298
572	3074	2290
573	3077	2283
574	3085	2280
575	3089	2274
576	3092	2267
577	3101	2264
578	3104	2257
579	3107	2250
580	3109	2242
581	3116	2237
582	3119	2231
583	3122	2224
584	3125	2216
585	3128	2210
586	3132	2203
587	3135	2196
588	3137	2189
589	3139	2181
590	3145	2176
591	3147	2169
592	3149	2161
593	3152	2154
594	3154	2147
595	3158	2140
596	3162	2134
597	3165	2127
598	3168	2120
599	3170	2113
600	3175	2108
601	3181	2103
602	3184	2096
603	3186	2089
604	3190	2082
605	3192	2075
606	3195	2068
607	3197	2061
608	3199	2054
609	3204	2048
610	3207	2042
611	3210	2035
612	3213	2028
613	3217	2022
614	3220	2016
615	3222	2009
616	3226	2002
617	3229	1996
618	3235	1991
619	3238	1985
620	3242	1978
621	3244	1971
622	3248	1965
623	3251	1959
624	3253	1952
625	3256	1945
626	3258	1938
627	3266	1934
628	3271	1929
629	3273	1922
630	3276	1916
631	3280	1910
632	3283	1903
633	3286	1897
634	3288	1890
635	3291	1883
636	3295	1877
637	3299	1872
638	3305	1867
639	3310	1862
640	3316	1857
641	3319	1851
642	3322	1844
643	3328	1839
